Period,Avräknad (kWh),Publiceringstidpunkt
2020-01-01 00:00,5104626.395,2020-01-14 11:01
2020-01-01 01:00,5232705.561,2020-01-14 11:01
2020-01-01 02:00,5428651.181,2020-01-14 11:01
2020-01-01 03:00,5643511.916,2020-01-14 11:01
2020-01-01 04:00,5796025.038,2020-01-14 11:01
2020-01-01 05:00,6113092.476,2020-01-14 11:01
2020-01-01 06:00,6461880.699,2020-01-14 11:01
2020-01-01 07:00,6601151.689,2020-01-14 11:01
2020-01-01 08:00,6740527.332,2020-01-14 11:01
2020-01-01 09:00,6769173.238,2020-01-14 11:01
2020-01-01 10:00,6793273.165,2020-01-14 11:01
2020-01-01 11:00,6833517.435,2020-01-14 11:01
2020-01-01 12:00,6727473.255,2020-01-14 11:01
2020-01-01 13:00,6695653.633,2020-01-14 11:01
2020-01-01 14:00,6695662.810,2020-01-14 11:01
2020-01-01 15:00,6662263.963,2020-01-14 11:01
2020-01-01 16:00,6525922.204,2020-01-14 11:01
2020-01-01 17:00,6553684.388,2020-01-14 11:01
2020-01-01 18:00,6639167.152,2020-01-14 11:01
2020-01-01 19:00,6706539.607,2020-01-14 11:01
2020-01-01 20:00,6755115.717,2020-01-14 11:01
2020-01-01 21:00,6694583.930,2020-01-14 11:01
2020-01-01 22:00,6704119.996,2020-01-14 11:01
2020-01-01 23:00,6655690.613,2020-01-14 11:01
2020-01-02 00:00,6667380.744,2020-01-14 11:01
2020-01-02 01:00,6556609.387,2020-01-14 11:01
2020-01-02 02:00,6404349.916,2020-01-14 11:01
2020-01-02 03:00,6206598.954,2020-01-14 11:01
2020-01-02 04:00,6036105.017,2020-01-14 11:01
2020-01-02 05:00,6052080.780,2020-01-14 11:01
2020-01-02 06:00,6077197.005,2020-01-14 11:01
2020-01-02 07:00,6312313.128,2020-01-14 11:01
2020-01-02 08:00,6413969.146,2020-01-14 11:01
2020-01-02 09:00,6564819.166,2020-01-14 11:01
2020-01-02 10:00,6692687.866,2020-01-14 11:01
2020-01-02 11:00,6724373.563,2020-01-14 11:01
2020-01-02 12:00,6708748.852,2020-01-14 11:01
2020-01-02 13:00,6693387.247,2020-01-14 11:01
2020-01-02 14:00,6691514.135,2020-01-14 11:01
2020-01-02 15:00,6739832.510,2020-01-14 11:01
2020-01-02 16:00,6777895.645,2020-01-14 11:01
2020-01-02 17:00,6809079.829,2020-01-14 11:01
2020-01-02 18:00,6817194.367,2020-01-14 11:01
2020-01-02 19:00,6840118.198,2020-01-14 11:01
2020-01-02 20:00,6983357.902,2020-01-14 11:01
2020-01-02 21:00,7066650.677,2020-01-14 11:01
2020-01-02 22:00,7149618.550,2020-01-14 11:01
2020-01-02 23:00,7179889.747,2020-01-14 11:01
2020-01-03 00:00,7183347.254,2020-01-14 11:01
2020-01-03 01:00,7139173.243,2020-01-14 11:01
2020-01-03 02:00,7135898.941,2020-01-14 11:01
2020-01-03 03:00,7132839.939,2020-01-14 11:01
2020-01-03 04:00,7204922.785,2020-01-14 11:01
2020-01-03 05:00,7173347.925,2020-01-14 11:01
2020-01-03 06:00,7140017.921,2020-01-14 11:01
2020-01-03 07:00,7134530.664,2020-01-14 11:01
2020-01-03 08:00,7001268.153,2020-01-14 11:01
2020-01-03 09:00,6951131.657,2020-01-14 11:01
2020-01-03 10:00,7018797.911,2020-01-14 11:01
2020-01-03 11:00,7088385.538,2020-01-14 11:01
2020-01-03 12:00,6817258.010,2020-01-14 11:01
2020-01-03 13:00,6614559.688,2020-01-14 11:01
2020-01-03 14:00,6637444.737,2020-01-14 11:01
2020-01-03 15:00,6422780.134,2020-01-14 11:01
2020-01-03 16:00,6350278.034,2020-01-14 11:01
2020-01-03 17:00,6446360.358,2020-01-14 11:01
2020-01-03 18:00,6627863.914,2020-01-14 11:01
2020-01-03 19:00,6815619.578,2020-01-14 11:01
2020-01-03 20:00,7078374.264,2020-01-14 11:01
2020-01-03 21:00,7227429.921,2020-01-14 11:01
2020-01-03 22:00,7412467.626,2020-01-14 11:01
2020-01-03 23:00,7484502.522,2020-01-14 11:01
2020-01-04 00:00,7478035.311,2020-01-14 11:01
2020-01-04 01:00,7317061.473,2020-01-14 11:01
2020-01-04 02:00,7113565.733,2020-01-14 11:01
2020-01-04 03:00,6790696.087,2020-01-14 11:01
2020-01-04 04:00,6724068.477,2020-01-14 11:01
2020-01-04 05:00,6887347.504,2020-01-14 11:01
2020-01-04 06:00,7066469.052,2020-01-14 11:01
2020-01-04 07:00,7205489.087,2020-01-14 11:01
2020-01-04 08:00,7139215.161,2020-01-14 11:01
2020-01-04 09:00,6974306.151,2020-01-14 11:01
2020-01-04 10:00,6885674.341,2020-01-14 11:01
2020-01-04 11:00,6994674.108,2020-01-14 11:01
2020-01-04 12:00,7016415.847,2020-01-14 11:01
2020-01-04 13:00,7110305.855,2020-01-14 11:01
2020-01-04 14:00,7134684.107,2020-01-14 11:01
2020-01-04 15:00,7089433.961,2020-01-14 11:01
2020-01-04 16:00,7017155.660,2020-01-14 11:01
2020-01-04 17:00,7004285.437,2020-01-14 11:01
2020-01-04 18:00,6884746.009,2020-01-14 11:01
2020-01-04 19:00,6647248.618,2020-01-14 11:01
2020-01-04 20:00,6369839.329,2020-01-14 11:01
2020-01-04 21:00,5970311.685,2020-01-14 11:01
2020-01-04 22:00,5556847.996,2020-01-14 11:01
2020-01-04 23:00,5217204.583,2020-01-14 11:01
2020-01-05 00:00,4971644.690,2020-01-14 11:01
2020-01-05 01:00,4962091.495,2020-01-14 11:01
2020-01-05 02:00,4507885.860,2020-01-14 11:01
2020-01-05 03:00,4054203.327,2020-01-14 11:01
